"","ID","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1","GR_1",56295,18235.1833590517,0.323921899974273,"lemh","chnk","juv","win"
"2","GR_10",54647,2982.96745239926,0.0545861154756759,"lemh","chnk","juv","win"
"3","GR_11",62055,2426.35451868965,0.0391000647601265,"lemh","chnk","juv","win"
"4","GR_12",160062,9382.47541868361,0.0586177569859405,"lemh","chnk","juv","win"
"5","GR_13",182036,11964.6154949776,0.0657266447020239,"lemh","chnk","juv","win"
"6","GR_14",134830,14356.9224874651,0.106481662000038,"lemh","chnk","juv","win"
"7","GR_15",135791,18721.9257594436,0.137873097329305,"lemh","chnk","juv","win"
"8","GR_16",90807,8983.98537105651,0.098934943022636,"lemh","chnk","juv","win"
"9","GR_2",188661,41171.9641466769,0.218232513061401,"lemh","chnk","juv","win"
"10","GR_3",75062,10620.6729027976,0.14149200531291,"lemh","chnk","juv","win"
"11","GR_4",92324,13224.729108843,0.143242592487793,"lemh","chnk","juv","win"
"12","GR_5",86963,12715.3942679324,0.146216140978719,"lemh","chnk","juv","win"
"13","GR_6",63346,8981.56114281889,0.141785766154436,"lemh","chnk","juv","win"
"14","GR_7",162383,20791.3162505692,0.128038749441562,"lemh","chnk","juv","win"
"15","GR_8",49656,8764.21654130258,0.17649864147943,"lemh","chnk","juv","win"
"16","GR_9",65650,4013.51137800375,0.0611349791013519,"lemh","chnk","juv","win"
