"","ID","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1","GR_1",56295,41011.0101410556,0.72850182327126,"lemh","sthd","juv","win"
"2","GR_10",54647,47734.2195270569,0.873501189947425,"lemh","sthd","juv","win"
"3","GR_11",62055,55397.3927201615,0.892714410122657,"lemh","sthd","juv","win"
"4","GR_12",160062,137948.858511668,0.861846400217839,"lemh","sthd","juv","win"
"5","GR_13",182036,157951.279242269,0.867692540169355,"lemh","sthd","juv","win"
"6","GR_14",134830,115533.910922777,0.856885788939979,"lemh","sthd","juv","win"
"7","GR_15",135791,114756.386669321,0.845095674008745,"lemh","sthd","juv","win"
"8","GR_16",90807,77699.5452718618,0.855655899565692,"lemh","sthd","juv","win"
"9","GR_2",188661,144968.266273605,0.768406116121536,"lemh","sthd","juv","win"
"10","GR_3",75062,60808.4019951876,0.81010900315989,"lemh","sthd","juv","win"
"11","GR_4",92324,70090.9722790071,0.759184743717853,"lemh","sthd","juv","win"
"12","GR_5",86963,69391.8320362028,0.797946621393038,"lemh","sthd","juv","win"
"13","GR_6",63346,46696.5651064641,0.73716675254103,"lemh","sthd","juv","win"
"14","GR_7",162383,126309.053519596,0.777846532701056,"lemh","sthd","juv","win"
"15","GR_8",49656,38967.8409116338,0.78475593909364,"lemh","sthd","juv","win"
"16","GR_9",65650,55931.0671912539,0.851958373057942,"lemh","sthd","juv","win"
