"","ID","area_m2","WUA","HHS","watershed","species","life_stage","season"
"1","GR_1",55621,37371.8433639258,0.671901680371187,"lemh","sthd","spw","spr"
"2","GR_10",41370,32972.0659350976,0.797004252721722,"lemh","sthd","spw","spr"
"3","GR_11",41257,31280.2449889388,0.758180308527978,"lemh","sthd","spw","spr"
"4","GR_12",114556,87142.5142955969,0.760697949436056,"lemh","sthd","spw","spr"
"5","GR_13",131394,97608.0840749685,0.742865610872403,"lemh","sthd","spw","spr"
"6","GR_14",87963,57477.7457100216,0.653430939258797,"lemh","sthd","spw","spr"
"7","GR_15",89651,54715.3439733555,0.610314932051572,"lemh","sthd","spw","spr"
"8","GR_16",51783,30682.0880430142,0.592512755981967,"lemh","sthd","spw","spr"
"9","GR_2",181983,133927.225784888,0.735932618897856,"lemh","sthd","spw","spr"
"10","GR_3",68817,51710.8313281595,0.751425248531024,"lemh","sthd","spw","spr"
"11","GR_4",82693,54309.4903573463,0.656760431443366,"lemh","sthd","spw","spr"
"12","GR_5",79317,59750.7931369529,0.753316352571995,"lemh","sthd","spw","spr"
"13","GR_6",55461,35054.5210610438,0.632057140351668,"lemh","sthd","spw","spr"
"14","GR_7",140693,97843.2422126838,0.695437883993403,"lemh","sthd","spw","spr"
"15","GR_8",45990,36510.8753642666,0.793887266020147,"lemh","sthd","spw","spr"
"16","GR_9",48216,35760.5683065611,0.741674305345966,"lemh","sthd","spw","spr"
